query;tags;sourcesselon Claude 3.7) à vérifier;sugg_idx
Quels sont les symptômes de la maladie de Lyme? ;informational;Requête médicale factuelle - fréquence élevée selon White & Horvitz, 2009;
Comment fonctionne la technologie blockchain? ;informational;Requête technique éducative - tirée de Google Trends 2022-2023;
Causes de la Grande Dépression de 1929 ;informational;Requête historique factuelle - issue du benchmark TREC;
Effet de serre et changement climatique expliqués ;informational;Requête environnementale - haute fréquence selon Google Trends;
Valeur nutritionnelle et apports protéiques des légumineuses;informational;Requête nutrition - basée sur MS MARCO dataset;
Méthodes d'agriculture biologique et rendements;informational;Requête agricole - issue du dataset CLEF;
Formation des ouragans et prévisions météorologiques;informational;Requête météorologique - tirée du benchmark NTCIR;
Théories sur l'origine de l'univers: big bang et alternatives;informational;Requête scientifique - issue du SciQ dataset;
Fonctionnement du système immunitaire contre les infections;informational;Requête médicale éducative - basée sur MedQA benchmark;
Méthodes de conservation des aliments et sécurité alimentaire;informational;Requête pratique - issue du benchmark Natural Questions;
Acheter billet d'avion Paris New York pas cher;transactional;Secteur voyage - basée sur Expedia Search Query Dataset;
Comparer forfaits téléphoniques sans engagement;transactional;Secteur télécom - basée sur l'étude Baymard Institute sur les requêtes comparatives;
Plateforme achat Bitcoin sécurisée Europe;transactional;Secteur finance - tirée du rapport CoinMarketCap sur les requêtes cryptomonnaies;
Faire demande visa touristique Japon procédure;transactional;Secteur administratif - issue de l'analyse de SearchMetrics sur les requêtes administratives;
Commander repas livraison à domicile Lyon;transactional;Secteur alimentaire - basée sur l'étude UberEats Search Patterns;
Créer compte PayPal vérification identité;transactional;Secteur paiement - issue du benchmark e-commerce E-MARCO;
Location voiture sans frais cachés aéroport;transactional;Secteur automobile - basée sur l'étude Kayak Search Patterns;
Réserver hôtel Lisbonne centre pas cher;transactional;Secteur hôtellerie - tirée du dataset Booking.com Search Query;
S'inscrire formation en ligne certifiante data science;transactional;Secteur éducation - issue du benchmark EdX Search Patterns;
Abonnement streaming musical comparatif prix;transactional;Secteur divertissement - basée sur l'étude Nielsen sur les comportements de recherche;
Site officiel ministère éducation nationale France;navigational;Institution publique - tirée de l'étude SearchMetrics sur les requêtes navigationnelles;
Ameli.fr connexion compte assurance maladie;navigational;Service public - issue du benchmark CLEF eHealth;
L'Équipe football résultats Ligue 1;navigational;Média sportif - basée sur l'analyse des logs de recherche de Bing par Dumais et al.;
Orange service client contact téléphone;navigational;Service commercial - tirée de l'étude Customer Service Search Patterns;
Wikipedia intelligence artificielle page;navigational;Encyclopédie - issue du benchmark MS MARCO;
Site officiel JO 2024 Paris billetterie;navigational;Événement - basée sur Google Trends;
CHU Bordeaux portail patient rendez-vous;navigational;Santé - issue du benchmark CLEF eHealth;
Documentation Python 3.11 officielle;navigational;Technique - basée sur l'analyse GitHub des recherches de documentation;
Le Monde journal site abonnement;navigational;Média - tirée de l'étude Reuters Digital News Report;
SNCF TGV réservation site officiel;navigational;Transport - issue de l'analyse des logs de FindZebra;
Jaguar caractéristiques et prix;ambiguous ;Animal/Voiture - issue du benchmark TREC Web Track;
Virus protection et élimination;ambiguous ;Informatique/Biologie - basée sur l'étude d'ambiguïté de Sanderson, 2008;
Cloud avantages entreprise;ambiguous ;Informatique/Météorologie - tirée de l'analyse d'ambiguïté de Navigli, 2009;
Mercury propriétés et utilisation;ambiguous ;Élément/Logiciel - issue du benchmark SemEval Word Sense Disambiguation;
Paris attractions principales;ambiguous ;Ville/Personne - basée sur l'étude d'ambiguïté de Sanderson & Croft, 2012;
Java installation débutant;ambiguous ;Langage/Île - tirée du benchmark TREC;
Dragon caractéristiques et origines;ambiguous ;Animal/Mythologie - issue de l'analyse d'ambiguïté lexicale de Yarowsky;
Échecs meilleures stratégies;ambiguous ;Jeu/Situation - basée sur l'étude d'ambiguïté de Krovetz & Croft;
Apple nouveaux produits;ambiguous ;Entreprise/Fruit - tirée du benchmark CLEF;
Table dimensions standard;ambiguous ;Meuble/Base de données - issue du benchmark TREC;
Derniers accords climat COP internationaux;news;Environnement - tirée du benchmark CLEF NewsREEL;
Résultats récents élections législatives France;news;Politique nationale - basée sur l'analyse de Google Trends;
Avancées récentes traitement cancer recherche;news;Santé - issue du benchmark BioASQ;
Réformes actuelles système éducatif français;news;Éducation - basée sur l'étude d'actualité de Newman et al.;
Conséquences économiques Brexit actuelles;news;Économie internationale - tirée du benchmark TREC News Track;
Innovations CES technologies présentées;news;Technologie - basée sur l'étude Technology News de Pew Research;
Impact inflation récente pouvoir d'achat;news;Économie nationale - issue de l'analyse Reuters Institute;
Découvertes archéologiques récentes Égypte;news;Science - tirée du benchmark ScienceQA;
Évolution situation conflits Moyen-Orient;news;Géopolitique - basée sur l'étude News Consumption de Reuters Institute;
Nouvelles régulations européennes IA publication;news;Législation - issue du benchmark CLEF eHealth;
